Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,28,409,2876,8,11599,0,6,26,14,0,0,0,0,100,6423,3212,2658,0,0,0,2916,5,0,30280
DIESEL,20616,32051,842148,2619,451755,19,310,2361,68438,404,804,9,1,22740,151344,183293,154898,4,0,20,818226,301,12,2752373
DIESEL/HYBRID,0,0,39,0,8597,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2721,0,0,11362
DUAL DIESEL/BIO CNG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/CNG,1,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,14
ELECTRIC BOV,168,921,1195,73,939,0,0,77,150,0,0,0,0,403,3028,2382,356,0,0,4,40119,0,0,49815
ETHANOL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
LNG,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LPG ONLY,62,135,1967,20,41,0,1,1,33,0,0,0,0,0,7,25,16,0,0,0,1657,1,0,3966
NOT APPLICABLE,223,2328,25327,13,1983,0,2,14,37,1,2,0,0,1756,1711,2892,979,0,0,0,93110,1,0,130379
PETROL,44452,1058322,7669367,2613,487728,31,390,4670,12245,92,15,8,0,334854,1037164,875724,276101,1,1,0,6119043,359,3,17923183
PETROL/CNG,1002,2383,43285,1557,100082,11,90,89,25,0,23,1,0,2559,15250,44562,58279,0,0,0,68600,43,0,337841
PETROL/ETHANOL,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/HYBRID,0,0,3,0,521,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,531
PETROL/LPG,246,264,35299,32,9525,0,3,32,527,0,3,0,0,166,3674,5769,7248,0,0,0,19908,3,0,82699
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
SOLAR,0,1,75,0,3,0,0,0,0,0,0,0,0,6,2,7,3,0,0,0,137,0,0,234
Total,66798,1096814,8621593,6935,1072775,61,803,7270,81469,497,847,18,1,362584,1218609,1117869,500542,5,1,24,7166447,713,15,21322690
