Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,ML,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
BHARAT STAGE II,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,11
BHARAT STAGE III,0,0,0,30,5,268,0,0,0,0,3,0,190,10,0,12,0,1,0,0,0,12,0,0,4,0,0,0,3,0,538
BHARAT STAGE III/IV,0,0,0,40,4,1,0,0,0,0,4,0,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,65
BHARAT STAGE IV,0,0,0,136,91,535,2,0,2,1,4,0,4412,5,0,2221,42,12,0,0,49,1253,0,0,10,21,0,0,80,1,8877
BHARAT STAGE IV/VI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHARAT STAGE VI,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bharat Trem Stage III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bharat Stage III CEV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
EURO 1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18
EURO 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
EURO 3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,304,0,308
EURO 4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,52,0,57
EURO 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Available,20,1180,1,7179,8357,1091,211,19,20900,24,487,62,6,1938,90,26,246,4618,2,39,2694,92,364,85,4657,1317,32,5067,52726,6727,120257
TREM STAGE IV,0,0,0,11,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22
Total,20,1180,1,7398,8465,1903,213,19,20902,25,500,62,4626,1957,90,2259,288,4632,2,39,2743,1358,364,87,4676,1338,32,5067,53199,6728,130173
