Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,3,11,3,0,0,0,0,4,3,5,162,1,0,53,11,0,0,3,15,0,173,0,3,1,112,0,10,0,13,0,0,7,1,594
BHARAT STAGE II,0,19,6,16,22,0,0,0,1,7,7,52,17,0,2,137,16,0,0,13,114,1,96,0,66,5,55,0,33,0,14,1,2,30,8,740
BHARAT STAGE III,1,29552,88,156,618,162,24,6,4,12,466,268,566,200,265,3663,164,0,0,573,272,103,87626,2,265,68,1942,6,825,4,43,13,72,371,111,128511
BHARAT STAGE III/IV,0,0,15,40,386,87,0,4,1,0,52,25,16,9,8,8,31,0,0,109,40,23,3,0,16,115,243,0,16,1,10,2,0,58,1,1319
BHARAT STAGE IV,52,246300,9562,109823,333062,146325,8201,5447,94751,8767,337776,28204,191904,149556,66108,672070,151631,808,5,555923,6669,9219,469675,4575,7204,181104,180535,11587,363747,1937,442541,14942,52132,1024767,378178,6265087
BHARAT STAGE IV/VI,1,5526,447,6831,5974,3571,854,236,12380,1480,17295,5739,14404,4641,10031,63,27261,87,0,18382,1623,720,19,491,825,4365,7254,507,15105,631,14761,438,4148,26081,9086,221257
BHARAT STAGE VI,2477,691149,10221,263661,623480,295576,21160,7319,303689,31988,703962,94856,361741,312651,106844,504772,458295,1494,5,1097930,14026,5681,694623,18122,7537,390287,297614,29883,631551,4604,997967,32030,122742,1415287,636503,11191727
Bharat Trem Stage III,0,1,0,1,183,258,0,0,0,0,206,8,647,5,0,12,0,0,0,84,8,0,21,0,0,26,1163,0,496,0,3,0,2,875,38,4037
Bharat Trem Stage III A,0,47,205,12944,48508,26174,30,36,12,31,53817,2528,35193,11578,407,11315,721,15,0,74442,11,1,3932,10,5,17973,23431,64,84325,4,26494,11,3078,122406,20070,579818
Bharat Trem Stage III B,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13
Bharat Stage III CEV,2,12,300,1463,2843,1775,16,55,25,44,4258,1420,2089,1315,552,1635,1226,13,0,6935,263,103,40,193,180,2318,1467,19,4648,33,4858,178,523,4495,1510,46806
CEV STAGE IV,0,0,3,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
EURO 6AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
EURO 1,0,0,2,1,0,0,0,0,0,1,2,0,13,0,0,0,5,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,34
EURO 2,0,0,1,0,0,0,0,0,0,0,4,4,19,0,0,0,3,0,0,0,2,0,0,0,64,1,0,0,2,0,0,0,2,21,0,123
EURO 3,0,0,0,2,0,0,0,0,0,0,91,0,30,0,0,1,4,0,0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,7,0,165
EURO 4,0,24,5,26,1,9,25,15,111,16,118,39,184,5,1,4,48,0,0,227,6,2,0,2,1,27,22,8,35,4,69,3,15,51,17,1120
EURO 6,0,0,0,1,0,0,3,18,4,1,47,266,10,3,0,3,5,1,0,11,0,0,0,0,1,4,66,1,9,0,6,0,0,6,0,466
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5
EURO 6B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
EURO 6C,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
EURO 6D,0,0,0,0,0,1,3,0,13,0,6,17,11,1,0,0,5,0,0,8,0,0,0,0,0,2,2,0,0,0,3,0,0,1,0,73
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
Not Available,3691,15253,81,12106,21795,7892,370,28,12377,86,5958,192,7,3118,75,12040,1701,0,720,20392,395,112,5736,1,63,4900,924,97,6797,0,5888,3422,2596,31671,10345,190829
TREM STAGE IV,0,0,0,0,1,2,1,1,0,0,11,1,3,1,1,2,0,0,0,8,2,0,0,0,0,82,13,0,12,0,1,0,1,6,1,150
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5
Total,6224,987883,20941,407082,1036877,481833,30687,13165,423368,42437,1124083,133627,607017,483086,184295,1205789,641127,2418,730,1775068,23450,15965,1261945,23396,16251,601284,514854,42172,1107629,7218,1492671,51040,185313,2626140,1055869,18632934
