Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,2,233,28,156,2,4,115,2,135,18,32,11,4,570,341,0,0,414,17,1,0,3,0,177,19,12,344,5,154,2,146,718,786,4451
Bus,49,5058,96,476,1620,4863,294,70,3317,295,2349,1032,2382,863,976,10665,5652,32,2,7753,100,35,14323,52,184,7201,2708,341,6183,42,8381,95,977,6345,14295,109106
Construction Equipment Vehicle,2,1157,204,1272,6,478,10,31,0,127,3158,395,1011,123,5,2187,938,2,0,2692,41,85,990,100,747,255,195,5,2555,9,3245,66,146,852,1120,24209
Four Wheeler,1710,51650,4067,36818,29737,30269,26279,3684,138386,16323,179362,30963,138435,36042,28808,183755,177644,1156,37,308860,10965,9452,76401,3036,5659,34767,120976,6491,104054,4443,172480,3939,32346,170504,80864,2260362
Goods Vehicle,266,26160,396,8321,11767,11343,609,1229,8728,3097,39839,11705,31372,11172,5391,46436,27491,251,0,64917,2892,496,22962,924,10683,21755,25062,1000,34979,418,62702,1826,5838,38868,35006,575901
Public Service Vehicle,33,3286,85,477,1610,824,236,70,3317,276,1855,956,2349,843,1121,6364,5842,25,0,6979,32,30,4306,35,41,2168,1712,315,6184,37,8628,83,939,6228,4909,72195
Special Category Vehicles,5,745,4,143,8,510,0,46,49,31,1607,85,1118,73,2,2055,526,0,3,1436,65,4,425,18,97,97,2273,11,718,3,1527,37,52,251,639,14663
Three Wheeler,247,51445,156,4316,10140,2519,1420,106,8459,85,47350,418,9722,8930,1568,31377,59321,0,42,19360,851,1405,10770,229,399,12944,4361,180,13458,0,50732,1709,3130,37398,13652,408199
Tractor,6,11082,44,1093,10256,7789,13,29,70,25,15685,1591,26587,5936,1320,27378,548,23,8,17866,45,61,42313,22,61,9161,19228,105,41215,1,15612,51,3464,72444,10917,342049
Trailer,0,15451,12,245,5189,3451,0,16,0,9,3658,6,31,3553,3,15916,3,0,0,5642,11,10,5465,4,2,8634,146,33,93,0,3239,3,926,389,1639,73779
Two Wheeler,5235,467587,5044,109009,168852,256203,25188,7404,291172,34190,678406,42194,341309,189303,35836,789479,364708,27,239,1172215,6901,8941,604865,8372,2907,300362,312327,61725,573254,605,1162917,18659,105085,1220742,405514,9776776
Total,7553,633621,10110,162403,239213,318405,54051,12689,453613,54460,973404,89363,554348,256849,75034,1116182,643014,1516,331,1608134,21920,20520,782820,12795,20780,397521,489007,70218,783037,5563,1489617,26470,153049,1554739,569341,13661690
